x,y,delay
0.0,0.0,100
1.0,0.0,200
2.0,0.0,100
3.0,0.0,200
4.0,0.0,100
5.0,0.0,200
6.0,0.0,100
0.0,1.1,300
1.0,1.1,400
2.0,1.1,300
3.0,1.1,400
4.0,1.1,300
5.0,1.1,400
6.0,1.1,300
0.0,2.2,500
1.0,2.2,600
2.0,2.2,500
3.0,2.2,600
4.0,2.2,500
5.0,2.2,600
6.0,2.2,500
0.0,3.3,700
1.0,3.3,800
2.0,3.3,700
3.0,3.3,800
4.0,3.3,700
5.0,3.3,800
6.0,3.3,700
0.0,4.4,900
1.0,4.4,1000
2.0,4.4,900
3.0,4.4,1000
4.0,4.4,900
5.0,4.4,1000
6.0,4.4,900
0.0,5.5,1100
1.0,5.5,1200
2.0,5.5,1100
3.0,5.5,1200
4.0,5.5,1100
5.0,5.5,1200
6.0,5.5,1100
