x,y,delay
0.0,0.0,0
1.0,0.0,100
2.0,0.0,200
3.0,0.0,300
4.0,0.0,400
5.0,0.0,500
6.0,0.0,600
0.0,1.1,100
1.0,1.1,200
2.0,1.1,300
3.0,1.1,400
4.0,1.1,500
5.0,1.1,600
6.0,1.1,700
0.0,2.2,200
1.0,2.2,300
2.0,2.2,400
3.0,2.2,500
4.0,2.2,600
5.0,2.2,700
6.0,2.2,800
0.0,3.3,300
1.0,3.3,400
2.0,3.3,500
3.0,3.3,600
4.0,3.3,700
5.0,3.3,800
6.0,3.3,900
0.0,4.4,400
1.0,4.4,500
2.0,4.4,600
3.0,4.4,700
4.0,4.4,800
5.0,4.4,900
6.0,4.4,1000
0.0,5.5,500
1.0,5.5,600
2.0,5.5,700
3.0,5.5,800
4.0,5.5,900
5.0,5.5,1000
6.0,5.5,1100
